2026-08-02 22:15:58 | INFO | asixez_bot | Next bot restart scheduled at 2026-08-02T20:00:00+03:00
2026-08-02 22:15:58 | INFO | asixez_bot | Slash commands synced: 2
2026-08-02 22:16:03 | INFO | asixez_bot | ASIXEZ main panel created
2026-08-02 22:16:03 | INFO | asixez_bot | ASIXEZ info panel updated
2026-08-02 22:16:03 | INFO | asixez_bot | ASIXEZ contracts panel updated
2026-08-02 22:16:03 | INFO | asixez_bot | ASIXEZ fleet panel updated
2026-08-02 22:16:03 | INFO | asixez_bot | ASIXEZ voice panel created
2026-08-02 22:16:03 | INFO | asixez_bot | ASIXEZ resolved application channels cleaned: 0
2026-08-02 22:16:03 | INFO | asixez_bot | ASIXEZ pending applications refreshed: 0
2026-08-02 22:16:10 | INFO | asixez_bot | ASIXEZ RU main panel created
2026-08-02 22:16:10 | INFO | asixez_bot | ASIXEZ RU info panel updated
2026-08-02 22:16:10 | INFO | asixez_bot | ASIXEZ RU contracts panel updated
2026-08-02 22:16:10 | INFO | asixez_bot | ASIXEZ RU fleet panel updated
2026-08-02 22:16:10 | INFO | asixez_bot | ASIXEZ RU voice panel created
2026-08-02 22:16:10 | INFO | asixez_bot | ASIXEZ RU resolved application channels cleaned: 0
2026-08-02 22:16:10 | INFO | asixez_bot | ASIXEZ RU pending applications refreshed: 0
2026-08-02 22:16:10 | INFO | asixez_bot | Logged in as Federal Famq#8997
2026-08-02 22:16:16 | ERROR | asixez_bot | Member chunk skipped for guild 1466147160763666472: 
2026-08-02 22:16:18 | INFO | asixez_bot | Staff panel published to 1533085586880200744
2026-08-02 22:16:20 | INFO | asixez_bot | Nickname report published to 1533219952591376384: 22 bad nicknames
2026-08-02 22:26:17 | INFO | asixez_bot | Next bot restart scheduled at 2026-08-02T20:00:00+03:00
2026-08-02 22:26:17 | INFO | asixez_bot | Slash commands synced: 2
2026-08-02 22:26:22 | INFO | asixez_bot | ASIXEZ main panel created
2026-08-02 22:26:22 | INFO | asixez_bot | ASIXEZ info panel updated
2026-08-02 22:26:22 | INFO | asixez_bot | ASIXEZ contracts panel updated
2026-08-02 22:26:22 | INFO | asixez_bot | ASIXEZ fleet panel updated
2026-08-02 22:26:22 | INFO | asixez_bot | ASIXEZ voice panel created
2026-08-02 22:26:22 | INFO | asixez_bot | ASIXEZ resolved application channels cleaned: 0
2026-08-02 22:26:22 | INFO | asixez_bot | ASIXEZ pending applications refreshed: 0
2026-08-02 22:26:30 | INFO | asixez_bot | ASIXEZ RU main panel created
2026-08-02 22:26:30 | INFO | asixez_bot | ASIXEZ RU info panel updated
2026-08-02 22:26:30 | INFO | asixez_bot | ASIXEZ RU contracts panel updated
2026-08-02 22:26:30 | INFO | asixez_bot | ASIXEZ RU fleet panel updated
2026-08-02 22:26:30 | INFO | asixez_bot | ASIXEZ RU voice panel created
2026-08-02 22:26:30 | INFO | asixez_bot | ASIXEZ RU resolved application channels cleaned: 0
2026-08-02 22:26:30 | INFO | asixez_bot | ASIXEZ RU pending applications refreshed: 0
2026-08-02 22:26:30 | INFO | asixez_bot | Logged in as Federal Famq#8997
2026-08-02 22:26:35 | ERROR | asixez_bot | Member chunk skipped for guild 1466147160763666472: 
2026-08-02 22:26:36 | INFO | asixez_bot | Staff panel published to 1533085586880200744
2026-08-02 22:26:38 | INFO | asixez_bot | Nickname report published to 1533219952591376384: 22 bad nicknames
